experiment	eval_01	eval_02	eval_03	eval_04	eval_05	eval_06	eval_07	eval_08	eval_09	eval_10	eval_11	eval_12	eval_13	eval_14	mean_r	k562_r	hepg2_r	sknsh_r	time_s	description
016_motif_cassette	0.5088	0.5089	0.5106	0.5110	0.5089	0.5099	0.5145	0.4552	0.5110	0.4989	0.5099	0.5106	0.5098	0.5088	0.5062	0.9650	0.5617	-0.0004	24.0	random uniform + 5 JASPAR consensus motifs at fixed positions (cassette)
017_celltype_tfs	0.5130	0.5129	0.5173	0.5167	0.5129	0.5147	0.5160	0.4631	0.5167	0.5110	0.5147	0.5173	0.5203	0.5130	0.5113	0.9895	0.5617	-0.0123	40.0	random uniform + 1 cell-type-specific TF (K562/HepG2/SKNSH) at fixed center
018_narrow_gc_s42	0.5210	0.5211	0.5253	0.5221	0.5211	0.5224	0.5278	0.4715	0.5221	0.5150	0.5224	0.5253	0.5200	0.5210	0.5199	0.9946	0.5665	0.0020	18.0	013 reproduced with seed=42 (narrow GC gain reproducible)
019_gc_std_04	0.5203	0.5202	0.5229	0.5240	0.5202	0.5212	0.5177	0.4666	0.5240	0.5151	0.5212	0.5229	0.5226	0.5203	0.5185	0.9938	0.5677	-0.0006	23.0	random with per-seq target GC ~ Normal(0.5, 0.04)
020_gc_std_06	0.5180	0.5179	0.5208	0.5216	0.5179	0.5188	0.5137	0.4695	0.5216	0.5095	0.5188	0.5208	0.5195	0.5180	0.5162	0.9876	0.5679	-0.0013	14.0	random with per-seq target GC ~ Normal(0.5, 0.06)
021_narrow_gc_plus_center_motif	0.5222	0.5226	0.5252	0.5216	0.5226	0.5236	0.5208	0.4730	0.5216	0.5086	0.5236	0.5252	0.5191	0.5222	0.5194	0.9926	0.5700	0.0040	15.0	narrow GC + center motif s42 (lucky high)
022_random_s999	0.5174	0.5173	0.5191	0.5229	0.5173	0.5183	0.5232	0.4692	0.5229	0.5098	0.5183	0.5191	0.5245	0.5174	0.5176	0.9949	0.5665	-0.0091	24.0	random uniform seed=999 (3rd variance check)
023_uniform_gc_range	0.5202	0.5203	0.5241	0.5216	0.5203	0.5215	0.5252	0.4735	0.5216	0.5117	0.5215	0.5241	0.5234	0.5202	0.5193	0.9943	0.5661	0.0004	35.0	per-seq GC uniform[0.45,0.55]
024_narrow_gc_motif_s999	0.5172	0.5174	0.5198	0.5240	0.5174	0.5192	0.5212	0.4726	0.5240	0.5165	0.5192	0.5198	0.5234	0.5172	0.5185	0.9929	0.5685	-0.0098	14.0	narrow GC + center motif s999
025_narrow_gc_std25	0.5190	0.5188	0.5209	0.5223	0.5188	0.5200	0.5215	0.4682	0.5223	0.5127	0.5200	0.5209	0.5223	0.5190	0.5176	0.9946	0.5678	-0.0054	31.0	per-seq GC ~ Normal(0.5, 0.025)
026_narrow_gc_s999	0.5226	0.5227	0.5245	0.5246	0.5227	0.5238	0.5242	0.4667	0.5246	0.5118	0.5238	0.5245	0.5273	0.5226	0.5210	0.9947	0.5693	0.0039	34.0	narrow GC seed=999 (3rd narrow-GC replicate)
027_portfolio_mix	0.5231	0.5231	0.5262	0.5253	0.5231	0.5245	0.5286	0.4704	0.5253	0.5135	0.5245	0.5262	0.5234	0.5231	0.5217	0.9946	0.5698	0.0049	13.0	portfolio: 25k narrow GC s=999 + 25k narrow GC s=42
028_primer_frame	0.5209	0.5209	0.5231	0.5196	0.5209	0.5218	0.5130	0.4732	0.5196	0.5077	0.5218	0.5231	0.5239	0.5209	0.5179	0.9939	0.5669	0.0019	30.0	narrow GC + fixed 10bp primer at start/end
029_narrow_gc_pwm_stochastic	0.5214	0.5214	0.5228	0.5227	0.5214	0.5225	0.5216	0.4684	0.5227	0.5116	0.5225	0.5228	0.5217	0.5214	0.5196	0.9931	0.5679	0.0032	22.0	narrow GC + 1 stochastic PWM motif at center
030_final_best	0.5189	0.5190	0.5220	0.5209	0.5190	0.5209	0.5244	0.4740	0.5209	0.5098	0.5209	0.5220	0.5218	0.5189	0.5188	0.9947	0.5677	-0.0057	14.0	4-seed portfolio: 12500 each from s=0,42,999,2024 of narrow GC
