experiment	eval_01	eval_02	eval_03	eval_04	eval_05	eval_06	eval_07	eval_08	eval_09	eval_10	eval_11	eval_12	eval_13	eval_14	mean_r	k562_r	hepg2_r	sknsh_r	time_s	description
015_hg38_ccre_40pct	0.0470	0.0470	0.0447	0.0486	0.0470	0.0463	0.0325	0.0501	0.0486	0.0290	0.0463	0.0447	0.0351	0.0470	0.0439	0.0366	0.0512	0.0438	42.8	30K random hg38 + 20K cCRE (40% cCRE)
016_gene_desert	0.0479	0.0478	0.0477	0.0517	0.0478	0.0473	0.0319	0.0414	0.0517	0.0271	0.0473	0.0477	0.0384	0.0479	0.0445	0.0371	0.0556	0.0409	43.1	random hg38 EXCLUDING any cCRE (100bp buffer)
017_gene_desert_1kb	0.0468	0.0469	0.0449	0.0476	0.0469	0.0458	0.0333	0.0440	0.0476	0.0240	0.0458	0.0449	0.0333	0.0468	0.0428	0.0359	0.0526	0.0398	44.1	gene-desert with 1kb cCRE buffer (stricter)
018_desert_plus_ccre	0.0477	0.0478	0.0468	0.0522	0.0478	0.0474	0.0316	0.0425	0.0522	0.0279	0.0474	0.0468	0.0376	0.0477	0.0445	0.0378	0.0554	0.0404	50.7	40K gene-desert + 10K cCRE-centered
019_gene_desert_seed1	0.0428	0.0424	0.0417	0.0517	0.0424	0.0422	0.0305	0.0384	0.0517	0.0263	0.0422	0.0417	0.0343	0.0428	0.0408	0.0360	0.0493	0.0370	43.1	gene-desert seed=1 (variance check)
020_hg38_ccre_seed1	0.0487	0.0487	0.0463	0.0517	0.0487	0.0483	0.0341	0.0519	0.0517	0.0253	0.0483	0.0463	0.0347	0.0487	0.0452	0.0366	0.0534	0.0457	42.4	013 design (40K rand + 10K cCRE) with seed=1
021_contrast_three_way	0.0489	0.0491	0.0475	0.0527	0.0491	0.0487	0.0305	0.0404	0.0527	0.0268	0.0487	0.0475	0.0360	0.0489	0.0448	0.0381	0.0559	0.0404	48.4	20K gene-desert + 20K random + 10K cCRE
022_gc_stratified	0.0488	0.0490	0.0475	0.0551	0.0490	0.0481	0.0265	0.0424	0.0551	0.0279	0.0481	0.0475	0.0293	0.0488	0.0445	0.0366	0.0562	0.0407	41.9	GC-stratified hg38 (4 bins x 12.5K)
023_hg38_ccre_5pct	0.0484	0.0485	0.0474	0.0491	0.0485	0.0479	0.0337	0.0434	0.0491	0.0278	0.0479	0.0474	0.0360	0.0484	0.0445	0.0366	0.0525	0.0446	41.9	47.5K random hg38 + 2.5K cCRE (5% cCRE)
024_hg38_ccre_seed2	0.0485	0.0489	0.0479	0.0551	0.0489	0.0479	0.0306	0.0450	0.0551	0.0265	0.0479	0.0479	0.0358	0.0485	0.0453	0.0379	0.0518	0.0463	43.7	013 design with seed=2 (triplicate)
025_hg38_high_entropy	0.0472	0.0471	0.0450	0.0525	0.0471	0.0462	0.0244	0.0569	0.0525	0.0297	0.0462	0.0450	0.0253	0.0472	0.0437	0.0430	0.0376	0.0506	40.2	hg38 top-50K by 4-mer entropy
026_ccre_type_balanced	0.0474	0.0473	0.0453	0.0533	0.0473	0.0470	0.0352	0.0556	0.0533	0.0294	0.0470	0.0453	0.0376	0.0474	0.0456	0.0380	0.0518	0.0470	43.6	30K rand + 4K each of 5 cCRE types
027_chimeric_ccre_random	0.0400	0.0400	0.0364	0.0442	0.0400	0.0392	0.0211	0.0697	0.0442	0.0303	0.0392	0.0364	0.0189	0.0400	0.0385	0.0341	0.0370	0.0445	43.2	50K chimeric: 100bp cCRE + 100bp random hg38 (side randomized)
028_cpg_enriched	0.0524	0.0524	0.0504	0.0590	0.0524	0.0514	0.0305	0.0580	0.0590	0.0255	0.0514	0.0504	0.0351	0.0524	0.0486	0.0427	0.0552	0.0479	78.9	top 50K of 200K hg38 windows by CpG count
029_cpg_plus_ccre	0.0490	0.0487	0.0467	0.0552	0.0487	0.0482	0.0322	0.0601	0.0552	0.0311	0.0482	0.0467	0.0364	0.0490	0.0468	0.0388	0.0528	0.0488	58.2	20K rand + 15K cCRE + 15K CpG-top — dilution of CpG signal
030_cpg_extreme	0.0485	0.0485	0.0457	0.0569	0.0485	0.0478	0.0268	0.0531	0.0569	0.0250	0.0478	0.0457	0.0295	0.0485	0.0449	0.0432	0.0464	0.0452	56.9	top 50K of 500K hg38 by CpG (extreme: GC=0.54)
