experiment	eval_01	eval_02	eval_03	eval_04	eval_05	eval_06	eval_07	eval_08	eval_09	eval_10	eval_11	eval_12	eval_13	eval_14	mean_r	time_s	description
020_mpra_hepg2_ref_alt	0.0053	0.0050	0.0053	0.0001	0.0050	0.0059	-0.0031	-0.0033	0.0001	-0.0021	0.0059	0.0053	0.0051	0.0053	0.0028	18.0	HepG2 3 ref + 3 alt / SKNSH 22 / K562 22 — H paired didn't help
021_mpra_k562_tsv_padj	0.0059	0.0055	0.0069	0.0000	0.0055	0.0067	0.0017	-0.0029	0.0000	0.0029	0.0067	0.0069	0.0075	0.0059	0.0042	26.0	K562 TSV padj<0.05 top 22k / H3-strict / S25 — TSV worse than BED
022_mpra_hepg2_rc_dup	0.0058	0.0057	0.0066	-0.0002	0.0057	0.0068	0.0000	-0.0042	-0.0002	0.0006	0.0068	0.0066	0.0043	0.0058	0.0036	25.0	HepG2 strict 3k + 3k RC / K22 / S22 — RC hurts HepG2
023_mpra_k562_spaced	0.0043	0.0040	0.0044	0.0013	0.0040	0.0051	0.0000	-0.0016	0.0013	0.0022	0.0051	0.0044	0.0072	0.0043	0.0033	22.0	K562 with min 500bp spacing — proximity skip hurt K562 r
024_mpra_hepg2_expanded	0.0070	0.0067	0.0070	0.0003	0.0067	0.0076	0.0005	-0.0036	0.0003	0.0007	0.0076	0.0070	0.0059	0.0070	0.0043	14.0	HepG2 6k unique |lfc|≥2.83 / K22 / S22 — K&S↑ H↓ wash
025_mpra_hepg2_strict_dups	0.0058	0.0056	0.0063	0.0005	0.0056	0.0066	-0.0006	-0.0055	0.0005	0.0009	0.0066	0.0063	0.0065	0.0058	0.0036	26.0	H3-strict + H3 same-strand dup / K22 / S22 — dups hurt all 3 cells
026_mpra_k562_expanded	0.0064	0.0060	0.0065	0.0002	0.0060	0.0071	-0.0002	-0.0041	0.0002	0.0011	0.0071	0.0065	0.0062	0.0064	0.0040	13.0	K25/H3/S22 — K562 22→25 didn't help K562; SKNSH at 22 beats 25
027_mpra_with_pels	0.0058	0.0055	0.0056	0.0009	0.0055	0.0068	-0.0003	-0.0038	0.0009	-0.0007	0.0068	0.0056	0.0050	0.0058	0.0035	15.0	K22/H3/S22 + 3k pELS — cross-cell cCRE dilutes signal
028_mpra_sknsh_tsv	0.0036	0.0033	0.0043	-0.0003	0.0033	0.0029	-0.0072	-0.0036	-0.0003	0.0017	0.0029	0.0043	0.0025	0.0036	0.0015	25.0	SKNSH TSV padj<0.05 25k / H3 BED / K22 BED — TSV SKNSH harmful
029_mpra_hepg2_4k	0.0066	0.0063	0.0074	0.0008	0.0063	0.0075	0.0009	-0.0027	0.0008	0.0009	0.0075	0.0074	0.0072	0.0066	0.0045	26.0	K22/H4 (|lfc|≥3.34)/S24 — tied with 015 (K↑, H↓, S↑)
030_mpra_hepg2_5k	0.0073	0.0070	0.0074	0.0009	0.0070	0.0079	-0.0002	-0.0037	0.0009	0.0012	0.0079	0.0074	0.0068	0.0073	0.0047	14.0	★ K22/H5 (|lfc|≥3.10)/S23 — NEW BEST 0.0047 (K↑0.0006 S↑0.0006)
